629	1
141.18865	-15.157969	-18.75331
141.19622	-15.087337	-18.75331
141.20375	-15.016701	-18.75331
141.21124	-14.946061	-18.75331
141.2187	-14.875418	-18.75331
141.22613	-14.804771	-18.75331
141.23352	-14.73412	-18.75331
141.24087	-14.663466	-18.75331
141.24819	-14.592808	-18.75331
141.25547	-14.522146	-18.75331
141.26271	-14.451481	-18.75331
141.26993	-14.380812	-18.75331
141.2771	-14.310139	-18.75331
141.28424	-14.239463	-18.75331
141.29135	-14.168783	-18.75331
141.29842	-14.0981	-18.75331
141.30545	-14.027413	-18.75331
141.31245	-13.956723	-18.75331
141.31942	-13.886029	-18.75331
141.32635	-13.815332	-18.75331
141.33324	-13.744631	-18.75331
141.3401	-13.673927	-18.75331
141.34692	-13.603219	-18.75331
141.35371	-13.532508	-18.75331
141.36046	-13.461794	-18.75331
141.36718	-13.391076	-18.75331
141.37386	-13.320355	-18.75331
141.3805	-13.249631	-18.75331
141.38712	-13.178903	-18.75331
141.39369	-13.108172	-18.75331
141.40023	-13.037437	-18.75331
141.40673	-12.9667	-18.75331
141.4132	-12.895959	-18.75331
141.41964	-12.825215	-18.75331
141.42604	-12.754468	-18.75331
141.4324	-12.683717	-18.75331
141.43873	-12.612964	-18.75331
141.44502	-12.542207	-18.75331
141.45127	-12.471447	-18.75331
141.4575	-12.400684	-18.75331
141.46368	-12.329918	-18.75331
141.46983	-12.259148	-18.75331
141.47595	-12.188376	-18.75331
141.48203	-12.117601	-18.75331
141.48807	-12.046822	-18.75331
141.49408	-11.976041	-18.75331
141.50005	-11.905256	-18.75331
141.50599	-11.834469	-18.75331
141.51189	-11.763679	-18.75331
141.51776	-11.692885	-18.75331
141.52359	-11.622089	-18.75331
141.52939	-11.55129	-18.75331
141.53515	-11.480488	-18.75331
141.54087	-11.409683	-18.75331
141.54656	-11.338875	-18.75331
141.55222	-11.268065	-18.75331
141.55784	-11.197251	-18.75331
141.56342	-11.126435	-18.75331
141.56897	-11.055616	-18.75331
141.57448	-10.984794	-18.75331
141.57996	-10.91397	-18.75331
141.5854	-10.843142	-18.75331
